iteration,fen,heuristic,tablebase,depth
1,8/7K/8/7R/8/8/6k1/8 w - - 0 1,27,17,4
2,8/6K1/1R6/8/8/8/8/6k1 w - - 0 1,21,17,4
3,8/3KR3/8/8/8/8/1k6/8 w - - 0 1,23,21,4
4,3K4/5R2/2k5/8/8/8/8/8 w - - 0 1,17,21,4
5,2k5/8/2K5/8/1R6/8/8/8 w - - 0 1,3,3,4
6,8/1K6/8/8/8/8/2R5/1k6 w - - 0 1,27,15,4
7,8/8/4R3/8/1k6/8/3K4/8 w - - 0 1,25,19,4
8,8/8/8/8/8/2R4K/8/5k2 w - - 0 1,25,17,4
9,8/4R3/8/8/8/6K1/8/5k2 w - - 0 1,3,3,4
10,3R4/2k4K/8/8/8/8/8/8 w - - 0 1,27,27,4
11,8/8/8/8/8/8/7R/k2K4 w - - 0 1,17,5,4
12,8/8/8/8/7R/8/3k4/K7 w - - 0 1,23,21,4
13,8/8/8/4R3/3k4/8/8/4K3 w - - 0 1,35,25,4
14,8/8/8/8/8/8/3R4/5k1K w - - 0 1,19,15,4
15,2R1K3/8/8/8/8/1k6/8/8 w - - 0 1,21,21,4
16,8/3R4/8/1k6/8/8/3K4/8 w - - 0 1,27,21,4
17,1R6/8/8/3k4/8/8/8/1K6 w - - 0 1,31,29,4
18,8/8/2R5/8/1K6/4k3/8/8 w - - 0 1,27,23,4
19,8/8/k7/8/8/2KR4/8/8 w - - 0 1,9,13,4
20,8/4R3/8/5k2/8/6K1/8/8 w - - 0 1,13,17,4
21,8/3R4/8/8/k7/2K5/8/8 w - - 0 1,3,3,4
22,8/K7/4k3/8/8/5R2/8/8 w - - 0 1,29,29,4
23,8/8/6R1/8/3K4/8/k7/8 w - - 0 1,5,5,4
24,8/8/1R6/k7/8/7K/8/8 w - - 0 1,33,21,4
25,8/7R/2K3k1/8/8/8/8/8 w - - 0 1,55,23,4
26,1R1K4/8/8/8/8/2k5/8/8 w - - 0 1,25,27,4
27,7k/8/8/8/K1R5/8/8/8 w - - 0 1,29,15,4
28,8/R7/8/1k6/8/8/8/4K3 w - - 0 1,23,23,4
29,8/4R3/8/6k1/8/3K4/8/8 w - - 0 1,13,19,4
30,8/8/8/2R5/8/8/8/4K1k1 w - - 0 1,15,7,4
31,R7/8/7k/8/8/8/8/5K2 w - - 0 1,29,17,4
32,8/6K1/8/R7/8/8/4k3/8 w - - 0 1,29,23,4
33,5R2/8/3k4/8/4K3/8/8/8 w - - 0 1,35,21,4
34,8/4k3/8/8/5K2/8/3R4/8 w - - 0 1,7,13,4
35,8/8/2k5/8/8/7R/K7/8 w - - 0 1,25,21,4
36,4k3/8/8/8/8/K7/8/6R1 w - - 0 1,27,17,4
37,8/7k/8/3R4/1K6/8/8/8 w - - 0 1,13,17,4
38,8/8/8/7R/8/k7/8/5K2 w - - 0 1,11,17,4
39,8/8/8/k7/8/7R/8/3K4 w - - 0 1,15,17,4
40,K4k2/8/8/8/R7/8/8/8 w - - 0 1,25,17,4
41,6R1/8/K7/8/k7/8/8/8 w - - 0 1,15,11,4
42,8/k7/8/8/4R3/5K2/8/8 w - - 0 1,17,17,4
43,7k/8/8/8/4K3/8/1R6/8 w - - 0 1,11,11,4
44,8/8/2R5/8/8/K7/3k4/8 w - - 0 1,31,25,4
45,1K6/8/8/8/k7/3R4/8/8 w - - 0 1,25,23,4
46,8/8/8/1K6/2R5/1k6/8/8 w - - 0 1,11,11,4
47,8/5K2/8/8/8/5R2/8/7k w - - 0 1,23,15,4
48,3R4/8/8/8/k7/2K5/8/8 w - - 0 1,3,3,4
49,8/8/2R1K3/8/8/8/8/6k1 w - - 0 1,17,17,4
50,6k1/8/1K6/8/5R2/8/8/8 w - - 0 1,17,19,4
51,k7/8/8/8/1R6/6K1/8/8 w - - 0 1,15,15,4
52,8/8/8/1R6/8/K5k1/8/8 w - - 0 1,27,23,4
53,8/8/4K3/k7/8/8/1R6/8 w - - 0 1,25,13,4
54,8/k7/8/8/8/8/1K6/5R2 w - - 0 1,11,17,4
55,8/8/1k6/3R4/8/2K5/8/8 w - - 0 1,19,15,4
56,8/2R5/5K2/1k6/8/8/8/8 w - - 0 1,13,21,4
57,8/8/8/6k1/4K3/7R/8/8 w - - 0 1,19,17,4
58,8/8/8/8/1R6/5K2/8/7k w - - 0 1,3,3,4
59,8/8/8/8/6k1/7R/7K/8 w - - 0 1,31,27,4
60,8/7R/8/8/8/2k5/8/2K5 w - - 0 1,27,23,4
61,8/1K6/8/5k2/8/8/8/2R5 w - - 0 1,27,25,4
62,8/8/4R3/1k6/8/8/8/1K6 w - - 0 1,25,27,4
63,8/8/1K1k4/8/8/8/8/7R w - - 0 1,19,21,4
64,8/8/7k/8/8/R7/5K2/8 w - - 0 1,27,15,4
65,8/8/3R3K/2k5/8/8/8/8 w - - 0 1,23,27,4
66,8/8/8/8/5K2/8/3R4/4k3 w - - 0 1,9,9,4
67,8/8/3R4/K7/8/8/8/2k5 w - - 0 1,9,11,4
68,8/8/8/5K2/8/2R5/8/5k2 w - - 0 1,11,13,4
69,8/8/R7/2k5/8/8/7K/8 w - - 0 1,31,29,4
70,8/8/8/2R5/8/8/4k3/2K5 w - - 0 1,19,15,4
71,8/7K/8/6R1/k7/8/8/8 w - - 0 1,41,27,4
72,1R6/7k/8/3K4/8/8/8/8 w - - 0 1,11,13,4
73,8/6R1/8/8/8/5K2/8/4k3 w - - 0 1,3,3,4
74,8/8/8/8/8/6RK/8/k7 w - - 0 1,23,15,4
75,3KR3/8/8/8/5k2/8/8/8 w - - 0 1,19,25,4
76,8/8/8/8/8/2K2k2/7R/8 w - - 0 1,25,19,4
77,8/8/8/8/4R3/8/5K2/1k6 w - - 0 1,19,11,4
78,8/8/8/8/2k5/8/R6K/8 w - - 0 1,31,29,4
79,8/8/8/4R3/8/5K2/8/3k4 w - - 0 1,23,13,4
80,8/6RK/5k2/8/8/8/8/8 w - - 0 1,29,29,4
81,8/8/3K3k/8/8/4R3/8/8 w - - 0 1,9,13,4
82,4R3/8/8/8/8/8/2k3K1/8 w - - 0 1,19,17,4
83,8/8/R7/8/3k4/8/8/5K2 w - - 0 1,29,27,4
84,8/8/8/8/2K4k/8/6R1/8 w - - 0 1,17,17,4
85,8/8/8/8/4KR2/6k1/8/8 w - - 0 1,11,11,4
86,8/8/8/6R1/3K4/7k/8/8 w - - 0 1,11,11,4
87,4R3/8/8/8/3K4/8/8/k7 w - - 0 1,5,5,4
88,8/8/8/2KR4/8/8/8/1k6 w - - 0 1,9,11,4
89,8/8/k7/8/3K4/3R4/8/8 w - - 0 1,9,11,4
90,8/8/R7/2K5/8/8/8/4k3 w - - 0 1,13,13,4
91,8/8/8/5k2/8/8/R7/5K2 w - - 0 1,17,23,4
92,6k1/R7/8/8/1K6/8/8/8 w - - 0 1,23,13,4
93,2k5/8/8/5K2/8/4R3/8/8 w - - 0 1,11,11,4
94,8/8/R7/8/8/1K1k4/8/8 w - - 0 1,21,23,4
95,8/8/8/8/7k/3K4/8/4R3 w - - 0 1,27,15,4
96,8/8/8/8/6K1/8/4k3/6R1 w - - 0 1,23,21,4
97,1R5K/8/8/2k5/8/8/8/8 w - - 0 1,23,29,4
98,8/6k1/8/4K3/8/8/2R5/8 w - - 0 1,7,13,4
99,8/5R2/8/8/8/8/8/K6k w - - 0 1,21,17,4
100,1R6/5k2/8/8/3K4/8/8/8 w - - 0 1,13,17,4
101,8/7k/8/R7/8/8/6K1/8 w - - 0 1,23,15,4
102,1R6/8/8/8/4k3/8/8/4K3 w - - 0 1,31,27,4
103,4R3/8/4K3/8/k7/8/8/8 w - - 0 1,13,13,4
104,8/3K4/8/8/8/8/5k2/4R3 w - - 0 1,19,21,4
105,k7/8/8/5R2/8/8/8/2K5 w - - 0 1,25,17,4
